# Rime table
# coding: utf-8
# @/db_name  custom_phrase.txt
# @/db_type	tabledb
#
# 用於【朙月拼音】系列輸入方案
# 【小狼毫】0.9.21 以上
#
# 請將該文件以UTF-8編碼保存爲
# Rime用戶文件夾/custom_phrase.txt
#
# 碼表各字段以製表符（Tab）分隔
# 順序爲：文字、編碼、權重（決定重碼的次序、可選）
#
# 雖然文本碼表編輯較爲方便，但不適合導入大量條目
#
# no comment

馬上到！	msd
什麼玩意兒!	wtf	2
What the fuck!	wtf	1
WTF	wtf	3
星際我爭霸	starcraft
HorizonZeroDawn	hzd	4
地平线：黎明时分	hzd	2
正在開會，一會給你回復：）	meet
中州韻輸入法引擎	rime	2
又双叒叕	yyy
http://rime.im/	rime	1
Rime	rime	3
⌘	cmd Command
⌃	ctl Control
⌥	opt Option
⇧	shift Shift
⇥	tab Tab
⇪	caps CapsLock
⏎	return Return
␣	space Space
⌫	del Del
⎋	esc Escape 
⏏	eject Eject
GBK	gbk
UTF-8	utfba
scomper@gmail.com	smail
scomper	scomper
SeaTable	hdbn
AAC	aac
AAX	aax
AcFUN	acfun
Adblock	adblock
ADSL	adsl
AFP	afp
AGPS	agps
AirTag	airtag
AIFF	aiff
AkelPad	akelpad
AlBayan	albayan
AMD	amd
Amphetamine	amphetamine
Android	android
Annotable	annotable
AnyConnect	anyconnect
AnyDrop	anydrop
App Clips	app clips
AOL	aol
APFS	apfs
API	api
Arduino	arduino
Arial	arial
ARP	arp
aText	atext
Athelas	athelas
ATI	ati
ATM	atm
Automator	automator
Auxo	auxo
Axure	axure
Ayuthaya	ayuthaya
AZW	azw
Bangla	bangla
Baskerville	baskerville
BBC	bbc
BFR	bfr
BigCaslon	bigcaslon
Big Sur	bigsur
Bitcron	bitcron
BlackBerry	black berry
BMP	bmp
Bodoni	bodoni
Brackets	brackets
Bug	bug
Calcbot	calcbot
Calibre	calibre
Calibri	calibri
CATIA	catia
CDMA	cdma
CDN	cdn
Cochin	cochin
Cond	cond
Copperplate	copperplate
Corsiva	corsiva
Cortana	cortana
CPU	cpu
ChatGPT	chatgpt
Curio	curio
Cydia	cydia
CentOS	centos
Devanagari	devanagari
DFU	dfu
DHCP	dhcp
Didot	didot
Diumoo	diumoo
DNS	dns
DOC	doc
DOCX	docx
Drafts	drafts
Droplr	droplr
Due	due
DVD	dvd
DVI	dvi
EarPods	earpods
Elpass	elpass
EdgePoint	edge point
EdgeSwitch	edge switch
eDRAM	edram
EDXOR	edxor
Emacs	emacs
ePub	epub
eSATA	esata
Evernote	evernote
ExFAT	exfat
FALSE	false
FAQ	faq
Farah	farah
Farisi	farisi
FAT	fat
Flickr	flickr
Followers	followers
FTP	ftp
Futura	futura
Gestimer	gestimer
GHz	ghz
GIF	gif
GillSans	gillsans
GIMP	gimp
GitHub	github
GLONASS	glonass
Gmail	gmail
Gneo	gneo
Google	google
GoPro	gopro
