厂部	厂部 厂 ⺁
偏厂	偏厂 厂
偏厂儿	偏厂儿 厂
厂字头	厂字头 厂
反字框	反字框 ⺁
匚部	匚部 
区字框	区字框 匚
三框	三框 匚
三框儿	三框儿 匚
刀部	刀部 刂
立刀旁	立刀旁 刂
立刀	立刀 刂
冂部	冂部 冂 ⺆
同字框	同字框 冂 ⺆
单人旁	单人旁 亻
人字旁	人字旁 亻
单立人	单立人 亻
斜刀头	斜刀头 ⺈
负字头	负字头 ⺈
包字头	包字头 勹
风字头	风字头 𠘨
凤字框	凤字框 𠘨
几字头	几字头 𠘨
几字底	几字底 𠘨
亠部	亠部 亠
京字头	京字头 亠
冫部	冫部 冫
两点水	两点水 冫
冰字旁	冰字旁 冫
八部	八部 丷
倒八	倒八 丷
兰字头	兰字头 丷
八字头	八字头 丷
八字底	八字底 丷
倒八字	倒八字 丷
冖部	冖部 冖
秃宝盖	秃宝盖 冖
言部	言部 讠 訁
言字旁	言字旁 讠 訁
凶字框	凶字框 凵
凵部	凵部 凵
卩部	卩部 卩
耳刀旁	耳刀旁 卩 
单耳旁	单耳旁 卩
单耳刀	单耳刀 卩
单耳朵	单耳朵 卩
邑部	邑部 阝
阜部	阜部 阝
双耳旁	双耳旁 阝
双耳刀	双耳刀 阝
左耳刀	左耳刀 阝
右耳刀	右耳刀 阝
厶部	厶部 厶
私字旁	私字旁 厶
廴部	廴部 廴
建之旁	建之旁 廴
㔾部	㔾部 㔾
仓字底	仓字底 㔾
土部	土部 土
提土旁	提土旁 土
土字底	土字底 土
土字旁	土字旁 土
手部	手部 扌
提手旁	提手旁 扌
艸部	艸部 艹
草头	草头 艹
草字头	草字头 艹
廾部	廾部 廾
弄字底	弄字底 廾
尢部	尢部 尢
尤字旁	尤字旁 尢
国字框	国字框 囗
大口框	大口框 囗
方框	方框 囗
双人旁	双人旁 彳
双立人	双立人 彳
彳部	彳部 彳
彡部	彡部 彡
三撇	三撇 彡
三撇儿	三撇儿 彡
犬部	犬部 犭
反犬旁	反犬旁 犭
夂部	夂部 夂
折文	折文 夂
折文儿	折文儿 夂
折文旁	折文旁 夂
冬字头	冬字头 夂
食部	食部 饣
食字旁	食字旁 饣
爿部	爿部 丬 爿
将字旁	将字旁 丬 爿
广部	广部 广
广字旁	广字旁 广
水部	水部 氵
三点水	三点水 氵
心部	心部 忄
竖心	竖心 忄
竖心旁	竖心旁 忄
宀部	宀部 宀
宝盖	宝盖 宀
宝盖儿	宝盖儿 宀
宝盖头	宝盖头 宀
宝盖儿头	宝盖儿头 宀
辵部	辵部 辶
走之	走之 辶
走之旁	走之旁 辶
彐部	彐部 彐
雪字底	雪字底 彐
横山	横山 彐
子部	子部 子 孑
子字旁	子字旁 子 孑
糸部	糸部 纟 糹 糸
绞丝	绞丝 纟 糹 糸
绞丝旁	绞丝旁 纟 糹 糸
绞丝儿旁	绞丝儿旁 纟 糹 糸
乱绞丝	乱绞丝 纟 糹 糸
乱绞丝儿	乱绞丝儿 纟 糹 糸
绞丝底	绞丝底 纟 糹 糸
幺部	幺部 幺
幼字旁	幼字旁 幺
巛部	巛部 巛
三拐	三拐 巛
三拐儿	三拐儿 巛
玉部	玉部 王
王字旁	王字旁 王
斜玉旁	斜玉旁 王
老字头	老字头 耂
木字旁	木字旁 木
牛字旁	牛字旁 牜 ⺧
车字旁	车字旁 车
反文	反文 攵
反文旁	反文旁 攵
爪字头	爪字头 爫
火字旁	火字旁 火
四点底	四点底 灬
示字旁	示字旁 礻
示补	示补 礻
示补儿	示补儿 礻
春字头	春字头 春
四字头	四字头 罒
扁四头	扁四头 罒
皿字底	皿字底 皿
皿墩	皿墩 皿
皿墩儿	皿墩儿 皿
金字旁	金字旁 钅
禾木旁	禾木旁 禾
病字头	病字头 疒
病字旁	病字旁 疒
病旁	病旁 疒
衣字旁	衣字旁 衤
衣补	衣补 衤
衣补儿	衣补儿 衤
登字头	登字头 癶
西字头	西字头 覀
虎字头	虎字头 虍
竹字头	竹字头 ⺮
羊字旁	羊字旁 ⺶ ⺷
羊字头	羊字头 ⺷ ⺶
卷字头	卷字头 龹
米字旁	米字旁 米
足字旁	足字旁 ⻊
髦字头	髦字头 髟
石字头	石字头 丆
----------	其他 ----------
Rime	Rime 㞢
中州韵	中州韵 Rime
鼠须管	鼠须管 Squirrel
小狼毫	小狼毫 Weasel
平方米	平方米 m²
平方厘米	平方厘米 cm²
度	度 °
摄氏度	摄氏度 °C
华氏度	华氏度 °F
点	点 ·
间隔号	间隔号 ·
连接号	连接号 —
连接符	连接符 —
反问号	反问号 ¿
约等于	约等于 ≈
约等	约等 ≈
约等号	约等号 ≈
不等于	不等于 ≠
大于	大于 >
大于号	大于号 >
小于	小于 <
小于号	小于号 <
小于等于	小于等于 ≤
小于等于号	小于等于号 ≤
大于等于	大于等于 ≥
大于等于号	大于等于号 ≥
根号	根号 √
正负号	正负号 ±
百分号	百分号 %
千分号	千分号 ‰
万分号	万分号 ‱
万字符	卍 卐
无穷大	无穷大 ∞
无穷大符号	无穷大符号 ∞
正无穷	正无穷 +∞
负无穷	负无穷 -∞
圆周率	圆周率 π
二百	二百 皕
英寸	英寸 吋
毫秒	毫秒 ms millisecond
微秒	微秒 μs microsecond
纳秒	纳秒 ns nanosecond
